
—,—,—,—,Df{d}Ff{z}If{i},Df{d}If{i},Ff{s}If{i},Df{d}Ef{a},Ef{i}df{Ff{s}},Ff{s}Ef{a},If{y}Ef{a},—,
Qf{a}arg./expl.,—,—,Qf{a},Qf{a}Df{d}Ff{z}If{i},Qf{a}Df{d}If{i},Qf{a}Ff{s}If{i},Qf{a}Df{d}Ef{a},Qf{a}df{Ff{s}},Qf{a}Ff{s},Qf{a}If{y}Ef{a},Qf{a},
Qf{ka}qualifier,—,—,Qf{ka},Qf{ka}Df{d}Ff{z}If{i},Qf{ka}Df{d}If{i},Qf{ka}Ff{s}If{i},Qf{ka}Df{d}Ef{a},Qf{ka}df{Ff{s}},Qf{ka}Ff{s}Ef{a},Qf{ka}If{y}Ef{a},Qf{ka},
,,,,,,,,,,Qf{ka}If{a},,
Qf{x̱ʼe}‘mouth’,—,—,Qf{x̱ʼe},Qf{x̱ʼa}Df{d}Ff{z}If{i},Qf{x̱ʼa}Df{d}If{i},Qf{x̱ʼa}Ff{s}If{i},Qf{x̱ʼa}Df{d}Ef{a},Qf{x̱ʼa}df{Ff{s}},Qf{x̱ʼa}Ff{s}Ef{a},Qf{x̱ʼa}If{y}Ef{a},Qf{x̱ʼa},
,,,,,,,,,,Qf{x̱ʼa}If{a},,
Qf{ji}‘hand’,—,—,Qf{ji},Qf{ji}Df{d}Ff{z}If{i},Qf{ji}Df{d}If{i},Qf{ji}Ff{s}If{i},Qf{ji}Df{d}Ef{a},Qf{ji}df{Ff{s}},Qf{ji}Ff{s}Ef{a},Qf{ji}If{y}Ef{a},Qf{ji},
Qf{tu}‘inside’,—,—,Qf{tu},Qf{tu}Df{d}Ff{z}If{i},Qf{tu}Df{d}If{i},Qf{tu}Ff{s}If{i},Qf{tu}Df{d}Ef{a},Qf{tu}df{Ff{s}},Qf{tu}Ff{s}Ef{a},Qf{tu}If{w}Ef{a},Qf{tu},
,,,,,,,,,,Qf{tu}If{y}Ef{a},,


—,—,Sf{x̱},Sf{x̱},Sf{x̱}Ef{a}Df{d}Ff{z}If{i},Sf{x̱}Ef{a}Df{d}If{i},Sf{x̱}Ef{a}Ff{s}If{i},Sf{x̱}Ef{a}Df{d}Ef{a},Sf{x̱}Ef{a}df{Ff{s}},Sf{x̱}Ef{a}Ff{s}Ef{a},Sf{x̱}Ef{a}If{a},Sf{x̱}Ef{a},
Qf{a}expletive,—,Sf{x̱},Qf{a}Sf{x̱},Qf{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{a}Sf{x̱}Df{d}If{i},Qf{a}Sf{x̱}Ff{s}If{i},Qf{a}Sf{x̱}Df{d}Ef{a},Qf{a}Sf{x̱}Ef{a}df{Ff{s}},Qf{a}Sf{x̱}Ff{s}Ef{a},Qf{a}Sf{x̱}Ef{a}If{a},Qf{a}Sf{x̱}Ef{a},
Qf{ka}qualifier,—,Sf{x̱},Qf{ka}Sf{x̱},Qf{ka}Sf{x̱}Df{d}Ff{z}If{i},Qf{ka}Sf{x̱}Df{d}If{i},Qf{ka}Sf{x̱}Ff{s}If{i},Qf{ka}Sf{x̱}Df{d}Ef{a},Qf{ka}Sf{x̱}Ef{a}df{Ff{s}},Qf{ka}Sf{x̱}Ff{s}Ef{a},Qf{ka}Sf{x̱}Ef{a}If{a},Qf{ka}Sf{x̱}Ef{a},
Qf{x̱ʼe}‘mouth’,—,Sf{x̱},Qf{x̱ʼe}Sf{x̱},Qf{x̱ʼa}Sf{x̱}Df{d}Ff{z}If{i},Qf{x̱ʼa}Sf{x̱}Df{d}If{i},Qf{x̱ʼa}Sf{x̱}Ff{s}If{i},Qf{x̱ʼa}Sf{x̱}Df{d}Ef{a},Qf{x̱ʼa}Sf{x̱}Ef{a}df{Ff{s}},Qf{x̱ʼa}Sf{x̱}Ff{s}Ef{a},Qf{x̱ʼa}Sf{x̱}Ef{a}If{a},Qf{x̱ʼa}Sf{x̱}Ef{a},
Qf{ji}‘hand’,—,Sf{x̱},Qf{ji}Sf{x̱},Qf{ji}Sf{x̱}Df{d}Ff{z}If{i},Qf{ji}Sf{x̱}Df{d}If{i},Qf{ji}Sf{x̱}Ff{s}If{i},Qf{ji}Sf{x̱}Df{d}Ef{a},Qf{ji}Sf{x̱}Ef{a}df{Ff{s}},Qf{ji}Sf{x̱}Ff{s}Ef{a},Qf{ji}Sf{x̱}Ef{a}If{a},Qf{ji}Sf{x̱}Ef{a},
Qf{tu}‘inside’,—,Sf{x̱},Qf{tu}Sf{x̱},Qf{tu}Sf{x̱}Df{d}Ff{z}If{i},Qf{tu}Sf{x̱}Df{d}If{i},Qf{tu}Sf{x̱}Ff{s}If{i},Qf{tu}Sf{x̱}Df{d}Ef{a},Qf{tu}Sf{x̱}Ef{a}df{Ff{s}},Qf{tu}Sf{x̱}Ff{s}Ef{a},Qf{tu}Sf{x̱}Ef{a}If{a},Qf{tu}Sf{x̱}Ef{a},


—,—,Sf{tu},Sf{tu},Sf{tu}Df{d}Ff{z}If{i},Sf{tu}Df{d}If{i},Sf{tu}Ff{s}If{i},Sf{tu}Df{d}Ef{a},Sf{too}df{Ff{s}},Sf{tu}Ff{s}Ef{a},Sf{tu}If{w}Ef{a},Sf{too},
