
—,Af{n},—,Af{n},Af{n}Ef{a}Df{d}Ff{z}If{i},Af{n}Ef{a}Df{d}If{i},Af{n}Ef{a}Ff{s}If{i},Af{n}Ef{a}Df{d}Ef{a},Af{n}Ef{a}df{Ff{s}},Af{n}Ef{a}Ff{s},Af{n}Ef{a}If{a},Af{n}Ef{a},
Qf{a}arg./expl.,Af{n},—,Qf{a}Af{n},Qf{a}Af{n}Df{d}Ff{z}If{i},Qf{a}Af{n}Df{d}If{i},Qf{a}Af{n}Ef{a}Ff{s}If{i},Qf{a}Af{n}Df{d}Ef{a},Qf{a}Af{n}Ef{a}df{Ff{s}},Qf{a}Af{n}Ef{a}Ff{s},Qf{a}Af{n}Ef{a}If{a},Qf{a}Af{n}Ef{a},
Qf{ka}qualifier,Af{n},—,Qf{ka}Af{n},Qf{ka}Af{n}Df{d}Ff{z}If{i},Qf{ka}Af{n}Df{d}If{i},Qf{ka}Af{n}Ef{a}Ff{s}If{i},Qf{ka}Af{n}Df{d}Ef{a},Qf{ka}Af{n}Ef{a}df{Ff{s}},Qf{ka}Af{n}Ef{a}Ff{s},Qf{ka}Af{n}Ef{a}If{a},Qf{ka}Af{n}Ef{a},
Qf{x̱ʼe}‘mouth’,Af{n},—,Qf{x̱ʼe}Af{n},Qf{x̱ʼa}Af{n}Df{d}Ff{z}If{i},Qf{x̱ʼa}Af{n}Df{d}If{i},Qf{x̱ʼa}Af{n}Ef{a}Ff{s}If{i},Qf{x̱ʼa}Af{n}Df{d}Ef{a},Qf{x̱ʼa}Af{n}Ef{a}df{Ff{s}},Qf{x̱ʼa}Af{n}Ef{a}Ff{s},Qf{x̱ʼa}Af{n}Ef{a}If{a},Qf{x̱ʼa}Af{n}Ef{a},
Qf{ji}‘hand’,Af{n},—,Qf{ji}Af{n},Qf{ji}Af{n}Df{d}Ff{z}If{i},Qf{ji}Af{n}Df{d}If{i},Qf{ji}Af{n}Ef{a}Ff{s}If{i},Qf{ji}Af{n}Df{d}Ef{a},Qf{ji}Af{n}Ef{a}df{Ff{s}},Qf{ji}Af{n}Ef{a}Ff{s},Qf{ji}Af{n}Ef{a}If{a},Qf{ji}Af{n}Ef{a},
Qf{tu}‘inside’,Af{n},—,Qf{tu}Af{n},Qf{tu}Af{n}Df{d}Ff{z}If{i},Qf{tu}Af{n}Df{d}If{i},Qf{tu}Af{n}Ef{a}Ff{s}If{i},Qf{tu}Af{n}Df{d}Ef{a},Qf{tu}Af{n}Ef{a}df{Ff{s}},Qf{tu}Af{n}Ef{a}Ff{s},Qf{tu}Af{n}Ef{a}If{a},Qf{tu}Af{n}Ef{a},


—,Af{n},Sf{x̱},Af{n}Sf{x̱},Af{n}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Af{n}Ef{a}Sf{x̱}Df{d}If{i},Af{n}Ef{a}Sf{x̱}Ff{s}If{i},Af{n}Ef{a}Sf{x̱}Df{d}Ef{a},Af{n}Ef{a}Sf{x̱}Ef{a}df{Ff{s}},Af{n}Ef{a}Sf{x̱}Ff{s}Ef{a},Af{n}Ef{a}Sf{x̱}Ef{a}If{a},Af{n}Ef{a}Sf{x̱}Ef{a},
Qf{a}expletive,Af{n},Sf{x̱},Qf{a}Af{n}Sf{x̱},Qf{a}Af{n}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{a}Af{n}Ef{a}Sf{x̱}Df{d}If{i},Qf{a}Af{n}Ef{a}Sf{x̱}Ff{s}If{i},Qf{a}Af{n}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{a}Af{n}Ef{a}Sf{x̱}Ef{a}df{Ff{s}},Qf{a}Af{n}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{a}Af{n}Sf{x̱}Ef{a}If{a},Qf{a}Af{n}Sf{x̱}Ef{a},
Qf{ka}qualifier,Af{n},Sf{x̱},Qf{ka}Af{n}Sf{x̱},Qf{ka}Af{n}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{ka}Af{n}Ef{a}Sf{x̱}Df{d}If{i},Qf{ka}Af{n}Ef{a}Sf{x̱}Ff{s}If{i},Qf{ka}Af{n}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{ka}Af{n}Ef{a}Sf{x̱}Ef{a}df{Ff{s}},Qf{ka}Af{n}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{ka}Af{n}Sf{x̱}Ef{a}If{a},Qf{ka}Af{n}Sf{x̱}Ef{a},
Qf{x̱ʼe}‘mouth’,Af{n},Sf{x̱},Qf{x̱ʼe}Af{n}Sf{x̱},Qf{x̱ʼa}Af{n}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{x̱ʼa}Af{n}Ef{a}Sf{x̱}Df{d}If{i},Qf{x̱ʼa}Af{n}Ef{a}Sf{x̱}Ff{s}If{i},Qf{x̱ʼa}Af{n}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{x̱ʼa}Af{n}Ef{a}Sf{x̱}Ef{a}df{Ff{s}},Qf{x̱ʼa}Af{n}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{x̱ʼa}Af{n}Sf{x̱}Ef{a}If{a},Qf{x̱ʼa}Af{n}Sf{x̱}Ef{a},
Qf{ji}‘hand’,Af{n},Sf{x̱},Qf{ji}Af{n}Sf{x̱},Qf{ji}Af{n}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{ji}Af{n}Ef{a}Sf{x̱}Df{d}If{i},Qf{ji}Af{n}Ef{a}Sf{x̱}Ff{s}If{i},Qf{ji}Af{n}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{ji}Af{n}Ef{a}Sf{x̱}Ef{a}df{Ff{s}},Qf{ji}Af{n}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{ji}Af{n}Sf{x̱}Ef{a}If{a},Qf{ji}Af{n}Sf{x̱}Ef{a},
Qf{tu}‘inside’,Af{n},Sf{x̱},Qf{tu}Af{n}Sf{x̱},Qf{tu}Af{n}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{tu}Af{n}Ef{a}Sf{x̱}Df{d}If{i},Qf{tu}Af{n}Ef{a}Sf{x̱}Ff{s}If{i},Qf{tu}Af{n}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{tu}Af{n}Ef{a}Sf{x̱}Ef{a}df{Ff{s}},Qf{tu}Af{n}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{tu}Af{n}Sf{x̱}Ef{a}If{a},Qf{tu}Af{n}Sf{x̱}Ef{a},


