
—,Af{g},—,Af{g},Af{g}Ef{a}Df{d}Ff{z}If{i},Af{g}Ef{a}Df{d}If{i},Af{g}Ef{a}Ff{s}If{i},Af{g}Ef{a}Df{d}Ef{a},Af{g}Ef{a}df{Ff{s}},Af{g}Ef{a}Ff{s}Ef{a},Af{g}Ef{a}If{a},Af{g}Ef{a},
Qf{a}arg./expl.,Af{g},—,Qf{a}Af{g},Qf{a}Af{k}Df{d}Ff{z}If{i},Qf{a}Af{k}Df{d}If{i},Qf{a}Af{k}Ff{s}If{i},Qf{a}Af{k}Df{d}Ef{a},Qf{a}Af{g}Ef{a}df{Ff{s}},Qf{a}Af{k}Ff{s}Ef{a},Qf{a}Af{g}Ef{a}If{a},Qf{a}Af{g}Ef{a},
,,,,Qf{a}Af{x}Df{d}Ff{z}If{i},Qf{a}Af{x}Df{d}If{i},,Qf{a}Af{x}Df{d}Ef{a},,,,,
Qf{ka}qualifier,Af{g},—,Qf{ka}Af{g},Qf{ka}Af{k}Df{d}Ff{z}If{i},Qf{ka}Af{k}Df{d}If{i},Qf{ka}Af{k}Ff{s}If{i},Qf{ka}Af{k}Df{d}Ef{a},Qf{ka}Af{g}Ef{a}df{Ff{s}},Qf{ka}Af{k}Ff{s}Ef{a},Qf{ka}Af{g}Ef{a}If{a},Qf{ka}Af{g}Ef{a},
Qf{x̱ʼe}‘mouth’,Af{g},—,Qf{x̱ʼe}Af{g},Qf{x̱ʼa}Af{k}Df{d}Ff{z}If{i},Qf{x̱ʼa}Af{k}Df{d}If{i},Qf{x̱ʼa}Af{k}Ff{s}If{i},Qf{x̱ʼa}Af{k}Df{d}Ef{a},Qf{x̱ʼa}Af{g}Ef{a}df{Ff{s}},Qf{x̱ʼa}Af{k}Ff{s}Ef{a},Qf{x̱ʼa}Af{g}Ef{a}If{a},Qf{x̱ʼa}Af{g}Ef{a},
Qf{ji}‘hand’,Af{g},—,Qf{ji}Af{g},Qf{ji}Af{k}Df{d}Ff{z}If{i},Qf{ji}Af{k}Df{d}If{i},Qf{ji}Af{k}Ff{s}If{i},Qf{ji}Af{k}Df{d}Ef{a},Qf{ji}Af{g}Ef{a}df{Ff{s}},Qf{ji}Af{k}Ff{s}Ef{a},Qf{ji}Af{g}Ef{a}If{a},Qf{ji}Af{g}Ef{a},
Qf{tu}‘inside’,Af{g},—,Qf{tu}Af{g},Qf{tu}Af{k}Df{d}Ff{z}If{i},Qf{tu}Af{k}Df{d}If{i},Qf{tu}Af{k}Ff{s}If{i},Qf{tu}Af{k}Df{d}Ef{a},Qf{tu}Af{g}Ef{a}df{Ff{s}},Qf{tu}Af{k}Ff{s}Ef{a},Qf{tu}Af{g}Ef{a}If{a},Qf{tu}Af{g}Ef{a},


—,Af{g},Sf{x̱},Af{g}Sf{x̱},Af{g}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Af{g}Ef{a}Sf{x̱}Df{d}If{i},Af{g}Ef{a}Sf{x̱}Ff{s}If{i},Af{g}Ef{a}Sf{x̱}Df{d}Ef{a},Af{g}Ef{a}Sf{x̱}Ef{a}df{Ff{s}},Af{g}Ef{a}Sf{x̱}Ff{s}Ef{a},Af{g}Ef{a}Sf{x̱}Ef{a}If{a},Af{g}Ef{a}Sf{x̱}Ef{a},
Qf{a}expletive,Af{g},Sf{x̱},Qf{a}Af{g}Sf{x̱},Qf{a}Af{g}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{a}Af{g}Ef{a}Sf{x̱}Df{d}If{i},Qf{a}Af{g}Ef{a}Sf{x̱}Ff{s}If{i},Qf{a}Af{g}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{a}Af{k}Sf{x̱}Ef{a}df{Ff{s}},Qf{a}Af{g}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{a}Af{k}Sf{x̱}Ef{a}If{a},Qf{a}Af{k}Sf{x̱}Ef{a},
Qf{ka}qualifier,Af{g},Sf{x̱},Qf{ka}Af{g}Sf{x̱},Qf{ka}Af{g}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{ka}Af{g}Ef{a}Sf{x̱}Df{d}If{i},Qf{ka}Af{g}Ef{a}Sf{x̱}Ff{s}If{i},Qf{ka}Af{g}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{ka}Af{k}Sf{x̱}Ef{a}df{Ff{s}},Qf{ka}Af{g}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{ka}Af{k}Sf{x̱}Ef{a}If{a},Qf{ka}Af{k}Sf{x̱}Ef{a},
Qf{x̱ʼe}‘mouth’,Af{g},Sf{x̱},Qf{x̱ʼe}Af{g}Sf{x̱},Qf{x̱ʼa}Af{g}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{x̱ʼa}Af{g}Ef{a}Sf{x̱}Df{d}If{i},Qf{x̱ʼa}Af{g}Ef{a}Sf{x̱}Ff{s}If{i},Qf{x̱ʼa}Af{g}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{x̱ʼa}Af{k}Sf{x̱}Ef{a}df{Ff{s}},Qf{x̱ʼa}Af{g}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{x̱ʼa}Af{k}Sf{x̱}Ef{a}If{a},Qf{x̱ʼa}Af{k}Sf{x̱}Ef{a},
Qf{ji}‘hand’,Af{g},Sf{x̱},Qf{ji}Af{g}Sf{x̱},Qf{ji}Af{g}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{ji}Af{g}Ef{a}Sf{x̱}Df{d}If{i},Qf{ji}Af{g}Ef{a}Sf{x̱}Ff{s}If{i},Qf{ji}Af{g}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{ji}Af{k}Sf{x̱}Ef{a}df{Ff{s}},Qf{ji}Af{g}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{ji}Af{k}Sf{x̱}Ef{a}If{a},Qf{ji}Af{k}Sf{x̱}Ef{a},
Qf{tu}‘inside’,Af{g},Sf{x̱},Qf{tu}Af{g}Sf{x̱},Qf{tu}Af{g}Ef{a}Sf{x̱}Df{d}Ff{z}If{i},Qf{tu}Af{g}Ef{a}Sf{x̱}Df{d}If{i},Qf{tu}Af{g}Ef{a}Sf{x̱}Ff{s}If{i},Qf{tu}Af{g}Ef{a}Sf{x̱}Df{d}Ef{a},Qf{tu}Af{k}Sf{x̱}Ef{a}df{Ff{s}},Qf{tu}Af{g}Ef{a}Sf{x̱}Ff{s}Ef{a},Qf{tu}Af{k}Sf{x̱}Ef{a}If{a},Qf{tu}Af{k}Sf{x̱}Ef{a},


—,Af{g},Sf{tu},Af{g}Sf{tu},Af{g}Ef{a}Sf{tu}Df{d}Ff{z}If{i},Af{g}Ef{a}Sf{tu}Df{d}If{i},Af{g}Ef{a}Sf{tu}Ff{s}If{i},Af{g}Ef{a}Sf{tu}Df{d}Ef{a},Af{g}Ef{a}Sf{too}df{Ff{s}},Af{g}Ef{a}Sf{tu}Ff{s}Ef{a},Af{g}Ef{a}Sf{tu}If{w}Ef{a},Af{g}Ef{a}Sf{too},
Qf{a}expletive,Af{g},Sf{tu},Qf{a}Af{g}Sf{tu},Qf{a}Af{k}Sf{tu}Df{d}Ff{z}If{i},Qf{a}Af{k}Sf{tu}Df{d}If{i},Qf{a}Af{k}Sf{tu}Ff{s}If{i},Qf{a}Af{k}Sf{tu}Df{d}Ef{a},Qf{a}Af{k}Sf{too}df{Ff{s}},Qf{a}Af{k}Sf{tu}Ff{s}Ef{a},Qf{a}Af{k}Sf{tu}If{w}Ef{a},Qf{a}Af{k}Sf{too},
Qf{ka}qualifier,Af{g},Sf{tu},Qf{ka}Af{g}Sf{tu},Qf{ka}Af{k}Sf{tu}Df{d}Ff{z}If{i},Qf{ka}Af{k}Sf{tu}Df{d}If{i},Qf{ka}Af{k}Sf{tu}Ff{s}If{i},Qf{ka}Af{k}Sf{tu}Df{d}Ef{a},Qf{ka}Af{k}Sf{too}df{Ff{s}},Qf{ka}Af{k}Sf{tu}Ff{s}Ef{a},Qf{ka}Af{k}Sf{tu}If{w}Ef{a},Qf{ka}Af{k}Sf{too},
