
—,Af{wu},—,Af{wu},Af{wu}Df{d}Ff{z}If{i},Af{wu}Df{d}If{i},Af{wu}Ff{s}If{i},Af{wu}Df{d}Ef{a},Af{wu}df{Ff{s}},Af{wu}Ff{s},Af{wo}If{o},Af{wu},
—,Af{u},—,Af{u},,,,Af{u}Df{d}Ef{a},Af{u}df{Ff{s}},Af{u}Ff{s},Af{u}If{w}Ef{a},Af{u},
Qf{a}arg./expl.,Af{wu},—,Qf{a}Af{wu},Qf{a}Af{w}Df{d}Ff{z}If{i},Qf{a}Af{w}Df{d}If{i},Qf{a}Af{w}Ff{s}If{i},Qf{a}Af{w}Df{d}Ef{a},Qf{a}Af{wu}df{Ff{s}},Qf{a}Af{wu}Ff{s},Qf{a}Af{a}If{w}Ef{a},Qf{a}Af{wu},
Qf{a}arg./expl.,Af{u},—,Qf{a}Af{u},,,,Qf{o}Af{o}Df{d}Ef{a},Qf{o}Af{o}df{Ff{s}},Qf{o}Af{o}Ff{s},Qf{o}Af{o}If{w}Ef{a},Qf{o}Af{o},
Qf{ka}qualifier,Af{wu},—,Qf{ka}Af{wu},Qf{ka}Af{w}Df{d}Ff{z}If{i},Qf{ka}Af{w}Df{d}If{i},Qf{ka}Af{w}Ff{s}If{i},Qf{ka}Af{w}Df{d}Ef{a},Qf{ka}Af{wu}df{Ff{s}},Qf{ka}Af{wu}Ff{s},Qf{ka}Af{a}If{w}Ef{a},Qf{ka}Af{wu},
Qf{x̱ʼe}‘mouth’,Af{wu},—,Qf{x̱ʼe}Af{wu},Qf{x̱ʼa}Af{w}Df{d}Ff{z}If{i},Qf{x̱ʼa}Af{w}Df{d}If{i},Qf{x̱ʼa}Af{w}Ff{s}If{i},Qf{x̱ʼa}Af{w}Df{d}Ef{a},Qf{x̱ʼa}Af{wu}df{Ff{s}},Qf{x̱ʼa}Af{wu}Ff{s},Qf{x̱ʼe}Af{i}If{w}Ef{a},Qf{x̱ʼa}Af{wu},
Qf{ji}‘hand’,Af{wu},—,Qf{ji}Af{wu},Qf{ji}Af{w}Df{d}Ff{z}If{i},Qf{ji}Af{w}Df{d}If{i},Qf{ji}Af{w}Ff{s}If{i},Qf{ji}Af{w}Df{d}Ef{a},Qf{ji}Af{wu}df{Ff{s}},Qf{ji}Af{wu}Ff{s},Qf{je}Af{e}If{w}Ef{a},Qf{ji}Af{wu},
Qf{tu}‘inside’,Af{wu},—,Qf{tu}Af{wu},Qf{tu}Af{w}Df{d}Ff{z}If{i},Qf{tu}Af{w}Df{d}If{i},Qf{tu}Af{w}Ff{s}If{i},Qf{tu}Af{w}Df{d}Ef{a},Qf{tu}Af{wu}df{Ff{s}},Qf{tu}Af{wu}Ff{s},Qf{to}Af{o}If{w}Ef{a},Qf{tu}Af{wu},


—,Af{wu},Sf{x̱},Af{wu}Sf{x̱},Sf{x̱}Af{w}Ef{a}Df{d}Ff{z}If{i},Sf{x̱}Af{w}Ef{a}Df{d}If{i},Sf{x̱}Af{w}Ef{a}Ff{s}If{i},Sf{x̱}Af{w}Ef{a}Df{d}Ef{a},Sf{x̱}Af{w}Ef{a}df{Ff{s}},Sf{x̱}Af{w}Ef{a}Ff{s}Ef{a},Sf{x̱}Af{w}Ef{a}If{a},Sf{x̱}Af{w}Ef{a},
Qf{a}arg/expl.,Af{wu},Sf{x̱},Qf{a}Af{wu}Sf{x̱},Qf{a}Sf{x̱}Af{w}Df{d}Ff{z}If{i},Qf{a}Sf{x̱}Af{w}Df{d}If{i},Qf{a}Sf{x̱}Af{w}Ff{s}If{i},Qf{a}Sf{x̱}Af{w}Df{d}Ef{a},Qf{a}Sf{x̱}Af{w}Ef{a}df{Ff{s}},Qf{a}Sf{x̱}Af{w}Ff{s}Ef{a},Qf{a}Sf{x̱}Af{w}Ef{a}If{a},Qf{a}Sf{x̱}Af{w}Ef{a},
Qf{ka}qualifier,Af{wu},Sf{x̱},Qf{ka}Af{wu}Sf{x̱},Qf{ka}Sf{x̱}Af{w}Df{d}Ff{z}If{i},Qf{ka}Sf{x̱}Af{w}Df{d}If{i},Qf{ka}Sf{x̱}Af{w}Ff{s}If{i},Qf{ka}Sf{x̱}Af{w}Df{d}Ef{a},Qf{ka}Sf{x̱}Af{w}Ef{a}df{Ff{s}},Qf{ka}Sf{x̱}Af{w}Ff{s}Ef{a},Qf{ka}Sf{x̱}Af{w}Ef{a}If{a},Qf{ka}Sf{x̱}Af{w}Ef{a},
Qf{x̱ʼe}‘mouth’,Af{wu},Sf{x̱},Qf{x̱ʼe}Af{wu}Sf{x̱},Qf{x̱ʼa}Sf{x̱}Af{w}Df{d}Ff{z}If{i},Qf{x̱ʼa}Sf{x̱}Af{w}Df{d}If{i},Qf{x̱ʼa}Sf{x̱}Af{w}Ff{s}If{i},Qf{x̱ʼa}Sf{x̱}Af{w}Df{d}Ef{a},Qf{x̱ʼa}Sf{x̱}Af{w}Ef{a}df{Ff{s}},Qf{x̱ʼa}Sf{x̱}Af{w}Ff{s}Ef{a},Qf{x̱ʼa}Sf{x̱}Af{w}Ef{a}If{a},Qf{x̱ʼa}Sf{x̱}Af{w}Ef{a},
Qf{ji}‘hand’,Af{wu},Sf{x̱},Qf{ji}Af{wu}Sf{x̱},Qf{ji}Sf{x̱}Af{w}Df{d}Ff{z}If{i},Qf{ji}Sf{x̱}Af{w}Df{d}If{i},Qf{ji}Sf{x̱}Af{w}Ff{s}If{i},Qf{ji}Sf{x̱}Af{w}Df{d}Ef{a},Qf{ji}Sf{x̱}Af{w}Ef{a}df{Ff{s}},Qf{ji}Sf{x̱}Af{w}Ff{s}Ef{a},Qf{ji}Sf{x̱}Af{w}Ef{a}If{a},Qf{ji}Sf{x̱}Af{w}Ef{a},
