
—,Rf{w}Af{g}Mf{g̱},—,Rf{w}Af{g}Mf{g̱},⁎,⁎,⁎,Af{g}Rf{u}Mf{x̱}Df{d}Ef{a},Af{g}Rf{u}Mf{g̱}Ef{a}df{Ff{s}},Af{g}Rf{u}Mf{x̱}Ff{s}Ef{a},⁎,Af{g}Rf{u}Mf{g̱}Ef{a},
,,,,,,,,…Af{k}Mf{g̱}Rf{w}Ef{a}df{Ff{s}},,,…Af{k}Mf{g̱}Rf{w}Ef{a},
Qf{a}arg./expl.,Rf{w}Af{g}Mf{g̱},—,Qf{a}Rf{w}Af{g}Mf{g̱},⁎,⁎,⁎,Qf{a}Af{g}Rf{u}Mf{x̱}Df{d}Ef{a},Qf{a}Af{k}Mf{g̱}Rf{w}Ef{a}df{Ff{s}},Qf{a}Af{g}Rf{u}Mf{x̱}Ff{s}Ef{a},⁎,Qf{a}Af{k}Mf{g̱}Rf{w}Ef{a},
Qf{ka}qualifier,Rf{w}Af{g}Mf{g̱},—,Qf{ka}Rf{w}Af{g}Mf{g̱},⁎,⁎,⁎,Qf{ka}Af{g}Rf{u}Mf{x̱}Df{d}Ef{a},Qf{ka}Af{k}Mf{g̱}Rf{w}Ef{a}df{Ff{s}},Qf{ka}Af{g}Rf{u}Mf{x̱}Ff{s}Ef{a},⁎,Qf{ka}Af{k}Mf{g̱}Rf{w}Ef{a},
Qf{x̱ʼe}‘mouth’,Rf{w}Af{g}Mf{g̱},—,Qf{x̱ʼe}Rf{w}Af{g}Mf{g̱},⁎,⁎,⁎,Qf{x̱ʼa}Af{g}Rf{u}Mf{x̱}Df{d}Ef{a},Qf{x̱ʼa}Af{k}Mf{g̱}Rf{w}Ef{a}df{Ff{s}},Qf{x̱ʼa}Af{g}Rf{u}Mf{x̱}Ff{s}Ef{a},⁎,Qf{x̱ʼa}Af{k}Mf{g̱}Rf{w}Ef{a},
Qf{ji}‘hand’,Rf{w}Af{g}Mf{g̱},—,Qf{ji}Rf{w}Af{g}Mf{g̱},⁎,⁎,⁎,Qf{ji}Af{g}Rf{u}Mf{x̱}Df{d}Ef{a},Qf{ji}Af{k}Mf{g̱}Rf{w}Ef{a}df{Ff{s}},Qf{ji}Af{g}Rf{u}Mf{x̱}Ff{s}Ef{a},⁎,Qf{ji}Af{k}Mf{g̱}Rf{w}Ef{a},
Qf{tu}‘inside’,Rf{w}Af{g}Mf{g̱},—,Qf{tu}Rf{w}Af{g}Mf{g̱},⁎,⁎,⁎,Qf{tu}Af{g}Rf{u}Mf{x̱}Df{d}Ef{a},Qf{tu}Af{k}Mf{g̱}Rf{w}Ef{a}df{Ff{s}},Qf{tu}Af{g}Rf{u}Mf{x̱}Ff{s}Ef{a},⁎,Qf{tu}Af{k}Mf{g̱}Rf{w}Ef{a},


—,Rf{w}Af{g}Mf{g̱},Sf{x̱},Rf{w}Af{g}Mf{g̱}Sf{x̱},⁎,⁎,⁎,Af{k}Rf{u}mf{Sf{ḵ}}Ef{a}Df{d}Ef{a},Af{k}Rf{u}mf{Sf{ḵ}}Ef{a}df{Ff{s}},Af{k}Rf{u}mf{Sf{ḵ}}Ef{a}Ff{s}Ef{a},⁎,Af{k}Rf{u}mf{Sf{ḵ}}Ef{a},
,,,,,,,…Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Df{d}Ef{a},,,,…Af{k}mf{Sf{ḵ}}Rf{w}Ef{a},
Qf{a}expletive,Rf{w}Af{g}Mf{g̱},Sf{x̱},Qf{a}Rf{w}Af{g}Mf{g̱}Sf{x̱},⁎,⁎,⁎,Qf{a}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Df{d}Ef{a},Qf{a}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}df{Ff{s}},Qf{a}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Ff{s}Ef{a},⁎,Qf{a}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a},
Qf{ka}qualifier,Rf{w}Af{g}Mf{g̱},Sf{x̱},Qf{ka}Rf{w}Af{g}Mf{g̱}Sf{x̱},⁎,⁎,⁎,Qf{ka}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Df{d}Ef{a},Qf{ka}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}df{Ff{s}},Qf{ka}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Ff{s}Ef{a},⁎,Qf{ka}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a},
Qf{x̱ʼe}‘mouth’,Rf{w}Af{g}Mf{g̱},Sf{x̱},Qf{x̱ʼe}Rf{w}Af{g}Mf{g̱}Sf{x̱},⁎,⁎,⁎,Qf{x̱ʼa}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Df{d}Ef{a},Qf{x̱ʼa}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}df{Ff{s}},Qf{x̱ʼa}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Ff{s}Ef{a},⁎,Qf{x̱ʼa}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a},
Qf{ji}‘hand’,Rf{w}Af{g}Mf{g̱},Sf{x̱},Qf{ji}Rf{w}Af{g}Mf{g̱}Sf{x̱},⁎,⁎,⁎,Qf{ji}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Df{d}Ef{a},Qf{ji}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}df{Ff{s}},Qf{ji}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Ff{s}Ef{a},⁎,Qf{ji}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a},
Qf{tu}‘inside’,Rf{w}Af{g}Mf{g̱},Sf{x̱},Qf{tu}Rf{w}Af{g}Mf{g̱}Sf{x̱},⁎,⁎,⁎,Qf{tu}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Df{d}Ef{a},Qf{tu}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}df{Ff{s}},Qf{tu}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a}Ff{s}Ef{a},⁎,Qf{tu}Af{k}mf{Sf{ḵ}}Rf{w}Ef{a},


—,Rf{w}Af{g}Mf{g̱},Sf{tu},Rf{w}Af{g}Mf{g̱}Sf{tu},⁎,⁎,⁎,Af{g}Ef{a}Mf{x̱}Sf{tu}Df{d}Ef{a},Af{g}Ef{a}Mf{x̱}Sf{too}df{Ff{s}},Af{g}Ef{a}Mf{x̱}Sf{tu}Ff{s}Ef{a},⁎,Af{g}Ef{a}Mf{x̱}Sf{too},
Qf{a}expletive,Rf{w}Af{g}Mf{g̱},Sf{tu},Qf{a}Rf{w}Af{g}Mf{g̱}Sf{tu},⁎,⁎,⁎,Qf{a}Af{g}Ef{a}Mf{x̱}Sf{tu}Df{d}Ef{a},Qf{a}Af{g}Ef{a}Mf{x̱}Sf{too}df{Ff{s}},Qf{a}Af{g}Ef{a}Mf{x̱}Sf{tu}Ff{s}Ef{a},⁎,Qf{a}Af{g}Ef{a}Mf{x̱}Sf{too},
Qf{ka}qualifier,Rf{w}Af{g}Mf{g̱},Sf{tu},Qf{ka}Rf{w}Af{g}Mf{g̱}Sf{tu},⁎,⁎,⁎,Qf{ka}Af{g}Ef{a}Mf{x̱}Sf{tu}Df{d}Ef{a},Qf{ka}Af{g}Ef{a}Mf{x̱}Sf{too}df{Ff{s}},Qf{ka}Af{g}Ef{a}Mf{x̱}Sf{tu}Ff{s}Ef{a},⁎,Qf{ka}Af{g}Ef{a}Mf{x̱}Sf{too},
Qf{x̱ʼe}‘mouth’,Rf{w}Af{g}Mf{g̱},Sf{tu},Qf{x̱ʼe}Rf{w}Af{g}Mf{g̱}Sf{tu},⁎,⁎,⁎,Qf{x̱ʼa}Af{g}Ef{a}Mf{x̱}Sf{tu}Df{d}Ef{a},Qf{x̱ʼa}Af{g}Ef{a}Mf{x̱}Sf{too}df{Ff{s}},Qf{x̱ʼa}Af{g}Ef{a}Mf{x̱}Sf{tu}Ff{s}Ef{a},⁎,Qf{x̱ʼa}Af{g}Ef{a}Mf{x̱}Sf{too},
Qf{ji}‘hand’,Rf{w}Af{g}Mf{g̱},Sf{tu},Qf{ji}Rf{w}Af{g}Mf{g̱}Sf{tu},⁎,⁎,⁎,Qf{ji}Af{g}Ef{a}Mf{x̱}Sf{tu}Df{d}Ef{a},Qf{ji}Af{g}Ef{a}Mf{x̱}Sf{too}df{Ff{s}},Qf{ji}Af{g}Ef{a}Mf{x̱}Sf{tu}Ff{s}Ef{a},⁎,Qf{ji}Af{g}Ef{a}Mf{x̱}Sf{too},
Qf{tu}‘inside’,Rf{w}Af{g}Mf{g̱},Sf{tu},Qf{tu}Rf{w}Af{g}Mf{g̱}Sf{tu},⁎,⁎,⁎,Qf{tu}Af{g}Ef{a}Mf{x̱}Sf{tu}Df{d}Ef{a},Qf{tu}Af{g}Ef{a}Mf{x̱}Sf{too}df{Ff{s}},Qf{tu}Af{g}Ef{a}Mf{x̱}Sf{tu}Ff{s}Ef{a},⁎,Qf{tu}Af{g}Ef{a}Mf{x̱}Sf{too},


—,Rf{w}Af{g}Mf{g̱},Sf{i},Rf{w}Af{g}Mf{g̱}Sf{i},⁎,⁎,⁎,Af{g}Ef{a}Mf{g̱}Sf{i}Df{d}Ef{a},Af{g}Ef{a}Mf{g̱}Sf{ee}df{Ff{s}},Af{g}Ef{a}Sf{g̱}Sf{i}Ff{s}Ef{a},⁎,Af{g}Ef{a}Mf{g̱}Sf{ee},
,,,,,,,…Af{k}Mf{g̱}Sf{i}Df{d}Ef{a},,,,…Af{k}Mf{g̱}Sf{ee},
Qf{a}expletive,Rf{w}Af{g}Mf{g̱},Sf{i},Qf{a}Rf{w}Af{g}Mf{g̱}Sf{i},⁎,⁎,⁎,Qf{a}Af{k}Mf{g̱}Sf{i}Df{d}Ef{a},Qf{a}Af{k}Mf{g̱}Sf{ee}df{Ff{s}},Qf{a}Af{k}Mf{g̱}Sf{i}Ff{s}Ef{a},⁎,Qf{a}Af{k}Mf{g̱}Sf{ee},
Qf{ka}qualifier,Rf{w}Af{g}Mf{g̱},Sf{i},Qf{ka}Rf{w}Af{g}Mf{g̱}Sf{i},⁎,⁎,⁎,Qf{ka}Af{k}Mf{g̱}Sf{i}Df{d}Ef{a},Qf{ka}Af{k}Mf{g̱}Sf{ee}df{Ff{s}},Qf{ka}Af{k}Mf{g̱}Sf{i}Ff{s}Ef{a},⁎,Qf{ka}Af{k}Mf{g̱}Sf{ee},
Qf{x̱ʼe}‘mouth’,Rf{w}Af{g}Mf{g̱},Sf{i},Qf{x̱ʼe}Rf{w}Af{g}Mf{g̱}Sf{i},⁎,⁎,⁎,Qf{x̱ʼa}Af{k}Mf{g̱}Sf{i}Df{d}Ef{a},Qf{x̱ʼa}Af{k}Mf{g̱}Sf{ee}df{Ff{s}},Qf{x̱ʼa}Af{k}Mf{g̱}Sf{i}Ff{s}Ef{a},⁎,Qf{x̱ʼa}Af{k}Mf{g̱}Sf{ee},
Qf{ji}‘hand’,Rf{w}Af{g}Mf{g̱},Sf{i},Qf{ji}Rf{w}Af{g}Mf{g̱}Sf{i},⁎,⁎,⁎,Qf{ji}Af{k}Mf{g̱}Sf{i}Df{d}Ef{a},Qf{ji}Af{k}Mf{g̱}Sf{ee}df{Ff{s}},Qf{ji}Af{k}Mf{g̱}Sf{i}Ff{s}Ef{a},⁎,Qf{ji}Af{k}Mf{g̱}Sf{ee},
Qf{tu}‘inside’,Rf{w}Af{g}Mf{g̱},Sf{i},Qf{tu}Rf{w}Af{g}Mf{g̱}Sf{i},⁎,⁎,⁎,Qf{tu}Af{k}Mf{g̱}Sf{i}Df{d}Ef{a},Qf{tu}Af{k}Mf{g̱}Sf{ee}df{Ff{s}},Qf{tu}Af{k}Mf{g̱}Sf{i}Ff{s}Ef{a},⁎,Qf{tu}Af{k}Mf{g̱}Sf{ee},


—,Rf{w}Af{g}Mf{g̱},Sf{yi},Rf{w}Af{g}Mf{g̱}Sf{yi},⁎,⁎,⁎,Af{g}Ef{a}Mf{x̱}Sf{yi}Df{d}Ef{a},Af{g}Ef{a}Mf{x̱}Sf{yee}df{Ff{s}},Af{g}Ef{a}Mf{x̱}Sf{yi}Ff{s}Ef{a},⁎,Af{g}Ef{a}Mf{x̱}Sf{yee},
Qf{a}expletive,Rf{w}Af{g}Mf{g̱},Sf{yi},Qf{a}Rf{w}Af{g}Mf{g̱}Sf{yi},⁎,⁎,⁎,Qf{a}Af{g}Ef{a}Mf{x̱}Sf{yi}Df{d}Ef{a},Qf{a}Af{g}Ef{a}Mf{x̱}Sf{yee}df{Ff{s}},Qf{a}Af{g}Ef{a}Mf{x̱}Sf{yi}Ff{s}Ef{a},⁎,Qf{a}Af{g}Ef{a}Mf{x̱}Sf{yee},
